City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Geraldton,AU,2020-09-01 15:27:38,-28.77,114.6,59.0,77,90,9.17
139,Barinas,VE,2020-09-01 15:29:56,8.62,-70.21,84.49,62,8,4.0
140,Tasiilaq,GL,2020-09-01 15:29:56,65.61,-37.64,39.2,86,75,9.17
141,Hetauda,NP,2020-09-01 15:29:57,27.43,85.03,73.4,100,75,3.36
142,Avera,US,2020-09-01 15:29:57,33.19,-82.53,87.01,83,1,3.18
143,Magnolia,US,2020-09-01 15:29:57,33.27,-93.24,82.4,88,75,9.17
144,Udachnyy,RU,2020-09-01 15:29:57,66.42,112.4,44.6,87,90,4.47
145,Hervey Bay,AU,2020-09-01 15:28:12,-25.3,152.85,61.0,93,75,5.82
146,Codrington,AU,2020-09-01 15:29:58,-38.27,141.97,53.33,53,100,14.85
147,Vavozh,RU,2020-09-01 15:29:58,56.78,51.93,71.8,70,100,11.25
148,Farah,AF,2020-09-01 15:29:58,32.5,62.5,74.08,22,0,5.3
149,Barsovo,RU,2020-09-01 15:29:59,61.17,73.17,53.6,100,75,8.95
150,Katsuura,JP,2020-09-01 15:29:59,35.13,140.3,78.01,90,0,1.01
151,Kawalu,ID,2020-09-01 15:29:59,-7.38,108.21,70.99,89,85,0.85
152,Naze,JP,2020-09-01 15:29:59,28.37,129.48,86.0,84,90,23.04
153,Minab,IR,2020-09-01 15:30:00,27.15,57.08,102.2,16,0,4.7
154,Yellowknife,CA,2020-09-01 15:30:00,62.46,-114.35,41.0,86,75,13.87
155,Broome,US,2020-09-01 15:30:01,42.25,-75.83,70.0,77,90,6.93
156,Havelock,US,2020-09-01 15:30:02,34.88,-76.9,89.6,62,40,3.36
157,Zhangjiakou,CN,2020-09-01 15:30:02,40.81,114.88,59.27,59,0,3.27
158,Thompson,CA,2020-09-01 15:30:01,55.74,-97.86,50.0,87,75,4.7
159,Tula,RU,2020-09-01 15:30:03,54.2,37.61,65.82,77,20,7.05
160,Dingle,PH,2020-09-01 15:30:04,11.0,122.67,76.77,87,16,2.19
161,Barra Do Bugres,BR,2020-09-01 15:30:04,-15.07,-57.18,107.15,15,0,3.24
162,Bitkine,TD,2020-09-01 15:30:05,11.98,18.21,81.7,72,34,5.01
163,Longyearbyen,SJ,2020-09-01 15:30:05,78.22,15.64,39.2,86,75,16.11
164,Wanlaweyn,SO,2020-09-01 15:30:06,2.62,44.89,79.99,64,32,21.09
165,Chokurdakh,RU,2020-09-01 15:30:06,70.63,147.92,37.18,95,100,7.94
166,Oussouye,SN,2020-09-01 15:30:07,12.48,-16.55,84.2,83,75,6.93
167,Korla,CN,2020-09-01 15:30:08,41.76,86.15,77.0,86,64,3.0
168,Castro,BR,2020-09-01 15:30:08,-24.79,-50.01,70.75,67,85,10.0
169,Devli,IN,2020-09-01 15:30:08,25.75,75.38,79.93,81,55,8.59
170,Bambous Virieux,MU,2020-09-01 15:30:09,-20.34,57.76,72.0,83,75,9.17
171,Aklavik,CA,2020-09-01 15:26:56,68.22,-135.01,44.6,100,90,4.7
172,Fukue,JP,2020-09-01 15:30:09,32.69,128.84,83.62,80,100,22.32
173,Touros,BR,2020-09-01 15:30:09,-5.2,-35.46,82.4,65,40,16.11
174,Tuatapere,NZ,2020-09-01 15:30:10,-46.13,167.68,34.34,89,1,4.41
175,Nelson Bay,AU,2020-09-01 15:30:10,-32.72,152.15,55.0,93,1,13.89
176,Fortuna,US,2020-09-01 15:30:11,40.6,-124.16,55.0,100,1,2.04
177,Clyde River,CA,2020-09-01 15:30:11,70.47,-68.59,44.6,70,20,9.17
178,Wanning,CN,2020-09-01 15:30:11,18.8,110.4,81.32,81,41,0.81
179,Gigmoto,PH,2020-09-01 15:30:12,13.78,124.39,81.81,79,63,8.59
180,Bethel,US,2020-09-01 15:30:12,41.37,-73.41,72.0,77,90,6.93
181,Qaanaaq,GL,2020-09-01 15:30:13,77.48,-69.36,31.86,84,0,1.43
182,Talnakh,RU,2020-09-01 15:30:13,69.49,88.4,42.8,93,88,8.95
183,Kaitangata,NZ,2020-09-01 15:30:13,-46.28,169.85,34.0,85,0,4.0
184,College,US,2020-09-01 15:30:14,64.86,-147.8,46.99,93,90,0.6
185,Jiayuguan,CN,2020-09-01 15:30:14,39.82,98.3,67.57,24,93,8.19
186,Praia,CV,2020-09-01 15:30:14,14.92,-23.51,86.0,62,40,16.11
187,Kamenka,RU,2020-09-01 15:30:15,51.32,42.77,91.0,24,0,2.28
188,Chingirlau,KZ,2020-09-01 15:30:15,51.09,54.08,75.85,29,0,5.19
189,Port Hardy,CA,2020-09-01 15:30:01,50.7,-127.42,55.4,100,90,3.36
190,Banepa,NP,2020-09-01 15:30:16,27.63,85.52,73.4,100,75,3.36
191,Bridlington,GB,2020-09-01 15:30:16,54.08,-0.19,68.0,45,39,4.7
