City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
436,Nanakuli,US,77.0,clear sky,21.39,-158.15,Camp Palehua
437,San Felipe,VE,77.56,overcast clouds,10.34,-68.74,Posada Llovizna Rodríguez
441,Abong Mbang,CM,83.16,broken clouds,3.98,13.18,Hotel Delice Du Haut Nyong
444,Grand-Lahou,CI,77.14,overcast clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
446,Kutum,SD,84.2,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
448,Touros,BR,82.4,broken clouds,-5.2,-35.46,INN NEW HORIZON
452,Belmonte,BR,75.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
453,Carballo,ES,86.0,clear sky,43.21,-8.69,Pazo do Souto
455,Mahibadhoo,MV,83.26,clear sky,3.78,72.97,Omadhoo Inn
456,Sinnamary,GF,84.45,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
457,Gumdag,TM,88.38,clear sky,39.21,54.59,
458,San Policarpo,PH,82.56,broken clouds,12.18,125.51,Zal-Ann Beach Resort
459,Cocorit,MX,82.4,broken clouds,27.58,-109.97,motel kaba
462,Imbituba,BR,77.0,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
464,Samarai,PG,77.76,moderate rain,-10.62,150.67,Nuli Sapi
465,Buluang,PH,79.66,overcast clouds,13.31,123.34,Enon Beach Resort
466,Manzil Kamil,TN,80.01,scattered clouds,35.62,10.67,Boukarra Ali
467,Nushki,PK,76.95,clear sky,29.55,66.02,Mahran motor showroom
471,Gamba,GA,75.4,overcast clouds,-2.65,10.0,
475,Kabwe,ZM,77.13,overcast clouds,-14.45,28.45,Tuskers
480,Vaitape,PF,78.26,light rain,-16.52,-151.75,Conrad Bora Bora Nui
485,Lorengau,PG,82.15,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
492,Nieves,PH,78.4,overcast clouds,15.33,120.95,Bill's Inn
493,Gerzat,FR,77.0,clear sky,45.82,3.14,Novotel Clermont-Ferrand
495,Daru,PG,77.36,light rain,-9.08,143.21,New century hotel
500,Pontianak,ID,76.32,light rain,-0.03,109.33,Aston Pontianak Hotel & Convention Center
501,Izumo,JP,80.6,few clouds,35.37,132.77,Toyoko-Inn Izumoshi ekimae
504,Soure,BR,84.52,broken clouds,-0.72,-48.52,Hotel Marajó
505,Castelbuono,IT,81.0,light rain,37.93,14.09,Hotel Paradiso Delle Madonie
507,Canapi,BR,87.21,broken clouds,-9.12,-37.6,
511,Nicoya,CR,78.8,broken clouds,10.15,-85.45,Guayacan Real
512,Ascension,US,86.0,scattered clouds,30.22,-90.9,Highland Inn
515,Kalmunai,LK,82.29,broken clouds,7.42,81.82,VS Villa
518,Tateyama,JP,82.0,overcast clouds,34.98,139.87,Tateyama Seaside Hotel
519,Caravelas,BR,79.14,clear sky,-17.71,-39.25,Pousada dos Navegantes
521,Toyooka,JP,76.51,moderate rain,35.53,134.83,O Hotel Toyooka
532,Baculin,PH,79.05,broken clouds,7.45,126.58,Shovy's Cove
534,Aksu,CN,82.09,overcast clouds,41.12,80.26,Pudong Holiday Hotel
537,Santa Cruz Del Sur,CU,86.67,clear sky,20.71,-78.0,
538,Cayenne,GF,89.6,few clouds,4.93,-52.33,Hôtel Le Dronmi
541,Tabou,CI,75.87,light rain,4.42,-7.35,hotêl doufoulougou
542,Kupang,ID,76.8,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
543,Contamana,PE,89.1,scattered clouds,-7.33,-75.02,Shiringal Touristic Park
545,Kerewan,GM,78.8,moderate rain,13.49,-16.09,
546,Dongargaon,IN,79.52,clear sky,20.97,80.85,Santoshi Hotel
547,Galesong,ID,78.8,few clouds,-5.32,119.37,Sapriadi Appy
548,Corn Island,NI,82.2,broken clouds,12.17,-83.04,Big Fish Guest House
549,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
551,Tura,IN,76.46,clear sky,25.52,90.22,Hotel RIKMAN Continental
556,Lazaro Cardenas,MX,81.07,broken clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
558,Waw,SS,76.93,broken clouds,7.7,28.0,Universal Gab Hotel
562,Albemarle,US,86.0,clear sky,35.35,-80.2,Holiday Inn Express & Suites Albemarle
564,Merauke,ID,78.28,overcast clouds,-8.47,140.33,
567,Conceicao Da Barra,BR,80.44,clear sky,-18.59,-39.73,Cricaré Praia Hotel
571,Waterloo,CA,75.0,clear sky,43.47,-80.52,Comfort Inn
572,Bubaque,GW,79.27,light rain,11.28,-15.83,Casa Dora
580,Mogadishu,SO,80.6,few clouds,2.04,45.34,Hotel Juba
585,Bambanglipuro,ID,76.95,light rain,-7.95,110.28,Puri Brata
586,Cabo Rojo,PR,87.01,clear sky,18.09,-67.15,Hotel Perichi's
587,Denpasar,ID,77.79,light rain,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
588,Marawi,PH,79.0,overcast clouds,8.0,124.29,Salihmaruhom
590,Sao Filipe,CV,79.65,light rain,14.9,-24.5,Tortuga B&B
591,Manadhoo,MV,81.88,light rain,5.77,73.38,Vevu Guesthouse
593,Wanning,CN,81.7,broken clouds,18.8,110.4,Paradise Hotel
594,Micheweni,TZ,77.7,clear sky,-4.97,39.83,
596,Lianran,CN,75.99,scattered clouds,24.92,102.48,Jinzhouwan Hotel
598,Kotma,IN,75.54,clear sky,23.2,81.97,Hotel Shree Govind
600,Clyde,US,77.0,clear sky,41.3,-82.98,Red Roof Inn Clyde
603,Huilong,CN,80.01,clear sky,31.81,121.66,Hilton Garden Inn Qidong
608,Turan,VN,86.0,few clouds,16.07,108.22,Grand Mercure Danang
610,Gasa,PS,90.0,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
612,Bairiki,KI,82.45,overcast clouds,1.33,172.98,Tarawa Boutique Hotel
613,Ranong,TH,81.07,light rain,9.97,98.63,Tinidee Hotel@Ranong
615,Horodyshche,UA,86.36,overcast clouds,49.28,31.45,Noyev Kovcheh
617,Oussouye,SN,78.8,light rain,12.48,-16.55,Auberge du Routard
619,Mitikas,GR,84.2,clear sky,38.67,20.95,Cavo Mytikas
622,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
623,Bac Lieu,VN,81.68,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
