City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
624,Yangjiang,CN,81.52,clear sky,21.85,111.97,HUALUXE Yangjiang City Center
625,Axim,GH,79.92,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
626,Karachi,PK,86.0,scattered clouds,24.91,67.08,Hillside Homes
627,Igboho,NG,80.76,light rain,8.83,3.75,More Hotet LTD
629,Tezu,IN,77.95,moderate rain,27.92,96.17,Circuit House
631,Diapaga,BF,83.89,light rain,12.07,1.79,
633,Dayong,CN,84.2,scattered clouds,25.02,118.29,Haiyue Express Hotel
635,Luanda,AO,75.2,few clouds,-8.84,13.23,EPIC SANA Luanda
636,Isla Aguada,MX,84.2,scattered clouds,18.78,-91.47,Freedom Shores
637,Port Blair,IN,83.61,overcast clouds,11.67,92.75,Fortune Resort Bay Island
639,Nazira,IN,79.81,moderate rain,26.92,94.73,Hotel Villa & Restaurant Fruition
641,Thinadhoo,MV,82.69,scattered clouds,0.53,72.93,
642,Zonguldak,TR,78.8,few clouds,41.25,31.83,Süleyman Tez Ev
643,Severnyy,RU,87.8,overcast clouds,50.68,36.55,Full House North Mini-Hotel
645,Sibu,MY,77.0,light rain,2.3,111.82,RH HOTEL (4 Star)
646,Mufumbwe,ZM,88.03,overcast clouds,-13.68,24.8,
649,Sibolga,ID,78.78,moderate rain,1.74,98.78,Hotel Syariah CN Darussalam
653,Sumbe,AO,75.2,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
654,Pundaguitan,PH,83.73,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
655,Honavar,IN,78.8,light rain,14.28,74.45,Hotel Sagar Residency
657,Kokopo,PG,77.4,broken clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
658,Marsaxlokk,MT,86.0,few clouds,35.84,14.54,Water's Edge
663,Bam,IR,80.11,clear sky,29.11,58.36,Bam Tourist Hotel
664,Mazamari,PE,89.37,light rain,-11.33,-74.53,Hospedaje Ratto
666,Trairi,BR,87.1,few clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
668,Araxa,BR,75.2,clear sky,-19.59,-46.94,Plaza Inn Flat Araxá
673,Natal,BR,84.2,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
676,Iguai,BR,77.72,light rain,-14.76,-40.09,Pousada Vila Do Sossego-Iguaí
677,Dutse,NG,85.84,broken clouds,11.76,9.34,Kaci
679,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
682,Araceli,PH,84.99,broken clouds,10.55,119.99,JBryan Traveler's Inn
684,Oyama,JP,87.01,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
685,Domoni,KM,75.25,few clouds,-12.26,44.53,Loulou
688,Greenwood,US,86.0,clear sky,34.17,-82.12,Quality Inn Greenwood Hwy 25
690,Los Llanos De Aridane,ES,80.6,few clouds,28.66,-17.92,Valle Aridane
693,Ouadda,CF,78.62,broken clouds,8.08,22.4,
694,Ginda,IN,84.2,haze,30.69,78.49,Bal uma sankar hotel and restaurant
695,Adre,TD,81.91,overcast clouds,13.47,22.2,
697,Bangar,PH,81.16,overcast clouds,16.89,120.42,Josephine's Villa
698,Tiarei,PF,75.2,few clouds,-17.53,-149.33,Le Rocher de Tahiti
700,Hirara,JP,84.29,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
703,Tenenkou,ML,88.63,overcast clouds,14.46,-4.92,
708,That Phanom,TH,80.74,light rain,16.94,104.71,ณ ธาตุพนมเพลส Na That Panom Place Hotel
711,Guaratinga,BR,75.2,broken clouds,-16.57,-39.57,Hotel Caraíva
