City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Weather Description
139,Roald,NO,62.58,6.13,61.0,76,75,11.41,light intensity drizzle
140,Manokwari,ID,-0.87,134.08,80.42,71,85,2.77,overcast clouds
141,Mar Del Plata,AR,-38.0,-57.56,50.0,76,75,6.93,broken clouds
142,Rocha,UY,-34.48,-54.33,51.96,80,88,13.53,overcast clouds
143,Katsuura,JP,35.13,140.3,84.0,88,88,12.35,overcast clouds
144,Amazar,RU,53.86,120.88,51.75,76,100,4.29,overcast clouds
145,Burley,US,42.54,-113.79,53.6,62,1,3.36,clear sky
146,Ancud,CL,-41.87,-73.82,50.0,79,4,1.99,light rain
147,Kruisfontein,ZA,-34.0,24.73,66.0,62,12,5.99,few clouds
148,Ostrovnoy,RU,68.05,39.51,58.41,66,38,11.16,scattered clouds
149,Mayskiy,RU,47.69,40.1,93.2,18,0,22.37,clear sky
150,Sovetskiy,RU,61.36,63.58,45.59,84,85,8.52,overcast clouds
151,Saint George,US,37.1,-113.58,75.99,22,1,2.77,clear sky
152,Half Moon Bay,US,37.46,-122.43,59.0,87,90,6.93,overcast clouds
153,Conde,BR,-7.26,-34.91,78.8,78,75,17.22,broken clouds
154,Visby,SE,57.64,18.3,69.01,82,40,12.75,scattered clouds
155,Codrington,AU,-38.27,141.97,45.07,90,1,11.21,clear sky
156,Nikolskoye,RU,59.7,30.79,70.0,64,88,11.18,overcast clouds
157,Alice Springs,AU,-23.7,133.88,62.6,27,0,4.7,clear sky
158,Kalianget,ID,-7.05,113.93,81.68,79,52,10.87,broken clouds
159,Astoria,US,46.19,-123.83,59.0,93,1,4.7,clear sky
160,Burnie,AU,-41.07,145.92,46.0,86,87,15.59,overcast clouds
161,Sokol,RU,59.46,40.12,60.19,74,0,6.33,clear sky
162,Port Hedland,AU,-20.32,118.57,68.0,64,0,6.93,clear sky
163,Chor,PK,25.52,69.77,93.29,47,28,7.29,scattered clouds
164,Victoria,HK,22.29,114.16,86.0,79,0,5.01,light rain
165,Mitsamiouli,KM,-11.38,43.28,77.07,73,47,9.8,light rain
166,Srednekolymsk,RU,67.45,153.68,37.99,77,65,4.47,broken clouds
167,Alexandria,EG,31.22,29.96,87.8,62,0,13.87,clear sky
168,Shimoda,JP,34.67,138.95,73.99,95,100,1.01,overcast clouds
169,Tagusao,PH,9.19,117.81,81.14,78,57,4.7,broken clouds
170,Flinders,AU,-34.58,150.86,63.0,68,90,1.99,overcast clouds
171,Urucara,BR,-2.54,-57.76,97.56,32,46,6.08,scattered clouds
172,Ushtobe,KZ,45.25,77.98,72.59,45,100,10.76,overcast clouds
173,Butaritari,KI,3.07,172.79,83.03,67,99,3.78,overcast clouds
174,Nome,US,64.5,-165.41,39.2,93,75,4.7,broken clouds
